Indicator,Latitude,Longitude
school,42.00893788181818181818181818,-87.75846621818181818181818182
school,41.69624142,-87.70544128
school,41.9036851,-87.85896018
grave_yard,41.98056224,-87.79602511333333333333333333
grave_yard,41.94834301818181818181818182,-87.82378459090909090909090909
parking,41.88068102307692307692307692,-87.67731986923076923076923077
parking,41.85140794,-87.78428844
parking,41.8514157,-87.78305104
parking,41.85143624,-87.78183744
parking,41.85145544,-87.78059916
parking,41.8514702,-87.77939324
parking,41.85150002,-87.77812754
parking,41.85151542,-87.77691864
parking,41.85153144,-87.77567388
parking,41.85154764,-87.77446696
parking,41.85156244,-87.77322514
parking,41.8515927,-87.77201288
parking,41.8516002,-87.7707659
parking,41.85162248,-87.76954684
parking,41.8516374,-87.76831454
parking,41.85165764,-87.76709094
parking,41.85167328,-87.76584984
parking,41.8516900,-87.7646332
parking,41.85137994,-87.78550904
parking,41.85135424,-87.78672324
parking,41.85133574,-87.78797024
parking,41.85132674,-87.78917924
parking,41.85130804,-87.79040394
parking,41.85128694,-87.79162174
parking,41.85127104,-87.79283744
parking,41.85125194,-87.79407274
parking,41.85107358,-87.80311432
library,42.026905504,-87.801108596
school,41.73130632,-87.55349812
school,41.73308341428571428571428571,-87.54508035714285714285714286
school,41.90696708,-87.75414384
school,41.9172615375,-87.7818601
school,41.79117165333333333333333333,-87.68958512
school,41.78062434,-87.69170032
school,41.79884971428571428571428571,-87.68973632857142857142857143
school,41.78442912,-87.64805438
school,41.7926960,-87.64068386666666666666666667
parking,42.0257315,-87.75392124
school,41.92521808,-87.7703734
parking,42.02903064,-87.75198578
school,41.78951586363636363636363636,-87.77991431818181818181818182
university,41.92440839090909090909090909,-87.64944227272727272727272727
fast_food,41.94694586666666666666666667,-87.65734813333333333333333333
parking,41.94663136,-87.65718378
parking,41.94689792857142857142857143,-87.6574979
parking,41.94918993333333333333333333,-87.65781628333333333333333333
school,41.84489198,-87.78165834
grave_yard,41.81272634375,-87.7900181625
school,41.81710196,-87.78694522
grave_yard,42.03436495714285714285714286,-87.82894423571428571428571429
school,41.92919712222222222222222222,-87.71905391111111111111111111
school,41.9191493,-87.74742954285714285714285714
parking,41.91931131428571428571428571,-87.7468504
parking,42.02603858,-87.74906286
restaurant,42.0267681,-87.7067804
parking,42.026690165,-87.706670855
parking,42.027128815,-87.70594502
school,41.9575392,-87.77103056
school,41.95729638,-87.76075288
school,41.9617484,-87.67360238
parking,42.02055628,-87.70929336
parking,42.01999042727272727272727273,-87.70634935454545454545454545
grave_yard,41.72097172105263157894736842,-87.88208753684210526315789474
parking,41.96821628333333333333333333,-87.71198928333333333333333333
parking,42.00484664117647058823529412,-87.88881148823529411764705882
school,41.98922912222222222222222222,-87.66702547777777777777777778
parking,41.92135841111111111111111111,-87.66488723333333333333333333
parking,41.96872524444444444444444444,-87.65726893333333333333333333
parking,41.73579946170212765957446809,-87.70441205531914893617021277
parking,41.97117778,-87.6795934
parking,42.0226970,-87.76875222
parking,42.02312164,-87.76793684
parking,42.02343203333333333333333333,-87.76868702222222222222222222
parking,42.021544304,-87.768404928
parking,42.01953494285714285714285714,-87.7661183
restaurant,41.96064748333333333333333333,-87.68359725
parking,41.93222274,-87.71142874
fast_food,41.92853168,-87.67334058
parking,41.91372532857142857142857143,-87.65404485714285714285714286
parking,41.91186658181818181818181818,-87.6539203
parking,41.91298784166666666666666667,-87.65375026666666666666666667
parking,41.9132574,-87.65496804
toilets,41.88989035,-87.79563447
public_building,42.02755812380952380952380952,-87.7168175
parking,42.02707204,-87.71603612
bank,42.02647612,-87.73804758
parking,42.02650724,-87.74308268
parking,41.9272269,-87.67739604444444444444444444
parking,41.9299408875,-87.683308375
parking,41.92933882857142857142857143,-87.68528867142857142857142857
parking,41.92774006,-87.683088785
parking,41.86793029166666666666666667,-87.64616045833333333333333333
bus_station,41.87490558,-87.64323506
parking,42.02704116315789473684210526,-87.80118324210526315789473684
parking,42.01571746,-87.74578912
parking,42.01646226,-87.7462801
parking,42.02659288333333333333333333,-87.7562954
parking,42.005621425,-87.712252025
cafe,42.01923938,-87.69052806
school,41.87225484,-87.84694388
school,41.87211561818181818181818182,-87.8624698
parking,41.87223614166666666666666667,-87.86266615833333333333333333
school,41.9392703,-87.77486801111111111111111111
parking,41.92504658,-87.66231726
parking,41.92505264,-87.66185008
school,41.84901678,-87.74774348
parking,42.031739375,-87.9125757875
parking,42.02015534,-87.9048472
parking,42.02104044444444444444444444,-87.90497315555555555555555556
parking,42.02223826,-87.9048500
parking,42.01871385,-87.9324062
bank,42.00899178181818181818181818,-87.8874052
fast_food,42.0078911,-87.88570774
restaurant,42.00874128571428571428571429,-87.88616151428571428571428571
restaurant,42.00867174,-87.88712246
parking,42.00683752,-87.88600128
parking,42.00871446,-87.88758336
parking,42.00929868,-87.88740848
parking,42.0065586,-87.88858408571428571428571429
parking,42.00616291428571428571428571,-87.88708341428571428571428571
parking,42.0017831,-87.85177176
parking,42.00062007142857142857142857,-87.85171242857142857142857143
parking,42.00170971666666666666666667,-87.85368993333333333333333333
parking,41.99815605714285714285714286,-87.85471857142857142857142857
theatre,41.97621723076923076923076923,-87.8643386
parking,41.97600228928571428571428571,-87.86476900357142857142857143
post_office,42.02435822,-87.89947702
pharmacy,41.93556421666666666666666667,-87.67013163333333333333333333
parking,41.9350975,-87.66917215714285714285714286
parking,41.93654172222222222222222222,-87.66920331111111111111111111
parking,41.9361998,-87.67051392
fast_food,41.93356564285714285714285714,-87.66893182380952380952380952
parking,41.88167985454545454545454545,-87.67491424545454545454545455
parking,41.88269116,-87.67319554
parking,41.88248796,-87.67548076
parking,41.8819362,-87.67108096
parking,41.88064648571428571428571429,-87.67092762857142857142857143
parking,41.87966835454545454545454545,-87.67455370909090909090909091
parking,41.88092418,-87.66963454
parking,41.88039214,-87.66962572
parking,41.88166752,-87.6696847
parking,41.87815893157894736842105263,-87.67069907368421052631578947
parking,41.87910772,-87.67069788
parking,41.87971208,-87.67098168
parking,41.87982052,-87.66972166
parking,41.8809374,-87.66356750384615384615384615
parking,41.88347187142857142857142857,-87.66239158571428571428571429
parking,41.88381772,-87.66140646
parking,41.87971124,-87.6640932
parking,41.87980176,-87.66468598
restaurant,41.88169888571428571428571429,-87.66253538571428571428571429
parking,41.88208634,-87.64921908
parking,41.88201775714285714285714286,-87.64817428571428571428571429
parking,41.88257776,-87.64934726
parking,41.88257884,-87.64892332
parking,41.8849536375,-87.6480249125
parking,41.92944935,-87.67402383333333333333333333
parking,41.92880544,-87.68080254
parking,41.92944374,-87.67546572
fast_food,41.92470287272727272727272727,-87.67189229090909090909090909
school,41.83806992,-87.7184998
fast_food,42.0247075,-87.89387281428571428571428571
bank,42.02427706,-87.8937891
fast_food,42.02415098,-87.89610802
fast_food,42.02414744285714285714285714,-87.89648261428571428571428571
fast_food,42.02342534,-87.89703214
fast_food,42.02345952,-87.89486042
school,42.02075611111111111111111111,-87.90660932222222222222222222
parking,42.02494626923076923076923077,-87.89305026153846153846153846
parking,42.02547272941176470588235294,-87.89512048235294117647058824
place_of_worship,41.99511607586206896551724138,-87.87130450689655172413793103
parking,41.99475054,-87.8686856
school,42.0194149,-87.9027577
school,42.0286390,-87.90551162
fire_station,41.98580691428571428571428571,-87.8614521
parking,41.99359838,-87.86349196
parking,41.99362928,-87.86253072
townhall,41.99543251818181818181818182,-87.86417305454545454545454545
parking,42.02332251904761904761904762,-87.89566487142857142857142857
parking,42.02328871428571428571428571,-87.8983640
parking,41.77711578,-87.64536902
hospital,41.89614470833333333333333333,-87.6219292
parking,41.8953833875,-87.6220817125
parking,41.90386431666666666666666667,-87.65380656666666666666666667
parking,41.9080813,-87.65494528571428571428571429
parking,41.90593522,-87.65504916
parking,41.90778417142857142857142857,-87.65643182857142857142857143
parking,41.90024701538461538461538462,-87.64931914615384615384615385
parking,41.89950556,-87.64833548
parking,41.89948925714285714285714286,-87.64763947142857142857142857
parking,41.9023029,-87.65180192
parking,41.90327321428571428571428571,-87.65030631428571428571428571
parking,41.9015734,-87.6518450875
recycling,41.90251570769230769230769231,-87.65568596923076923076923077
parking,41.91029587777777777777777778,-87.65426846666666666666666667
parking,41.912007055,-87.65977975
parking,41.90497533333333333333333333,-87.64959188333333333333333333
fuel,41.90448596,-87.64844094
bank,41.91067471428571428571428571,-87.64981317142857142857142857
school,41.83456847777777777777777778,-87.64979563333333333333333333
parking,41.91129292666666666666666667,-87.65133619333333333333333333
parking,41.90437355,-87.65887451666666666666666667
parking,41.90308072941176470588235294,-87.65939548823529411764705882
restaurant,41.92983681111111111111111111,-87.63741461111111111111111111
parking,41.94712985454545454545454545,-87.64048145454545454545454545
picnic_table,41.94841466,-87.6387477
toilets,41.94344762,-87.63951676
community_centre,41.91969992857142857142857143,-87.63586034285714285714285714
school,41.73933036,-87.58151266
dentist,42.02394424,-87.88733456
school,41.89260251428571428571428571,-87.70821447142857142857142857
bank,41.85782901666666666666666667,-87.64695196666666666666666667
school,41.90036342,-87.7326074
parking,42.02700478333333333333333333,-87.92610965
toilets,42.02811184,-87.9324570
parking,42.02897138181818181818181818,-87.9311354
parking,42.02894853333333333333333333,-87.93136929166666666666666667
parking,42.03067726666666666666666667,-87.87452804285714285714285714
grave_yard,41.9875724,-87.85302482857142857142857143
parking,41.994536725,-87.86040909166666666666666667
parking,42.02842812,-87.93468024
parking,42.02869874,-87.93457528
parking,42.02740806666666666666666667,-87.93364461111111111111111111
parking,42.03030835,-87.9361439875
parking,41.87132877777777777777777778,-87.78753506111111111111111111
parking,42.02941096842105263157894737,-87.92993239473684210526315789
parking,42.02909354,-87.92969874
parking,41.85191633636363636363636364,-87.93884326363636363636363636
parking,41.85116388181818181818181818,-87.93851216363636363636363636
parking,41.64950936153846153846153846,-87.58168362307692307692307692
parking,41.65042010434782608695652174,-87.58358450869565217391304348
parking,41.65212315217391304347826087,-87.58425529565217391304347826
parking,41.98519209090909090909090909,-87.83058450909090909090909091
parking,41.98535376666666666666666667,-87.8301496
parking,41.98526596,-87.82953098
parking,41.9850801875,-87.8285922625
parking,41.98526996,-87.8328567
parking,41.98554636923076923076923077,-87.83205484615384615384615385
parking,41.98524226,-87.8312068
parking,41.98546803636363636363636364,-87.83322940909090909090909091
place_of_worship,42.01567303,-87.89634263
parking,42.01626539,-87.89674062
parking,42.0163155,-87.89586446666666666666666667
parking,42.01626632857142857142857143,-87.89615467142857142857142857
parking,42.0162494,-87.89845093333333333333333333
parking,42.02994734473684210526315789,-87.91207113421052631578947368
parking,42.0299819625,-87.9102725625
parking,42.0296823,-87.909762275
parking,42.028836516,-87.90969351
parking,41.99792955714285714285714286,-87.87501011428571428571428571
parking,42.0122296125,-87.877969225
parking,42.01222468571428571428571429,-87.87854148571428571428571429
parking,42.01672956666666666666666667,-87.88113286666666666666666667
courthouse,41.87870996,-87.6289813
prison,41.87649605,-87.630394775
post_office,41.87899624,-87.63032094
parking,41.87730995,-87.6284476
parking,41.87721744,-87.62994748
parking,41.87896588,-87.63460968
parking,41.87715084,-87.63477155
parking,41.8774442,-87.63406558333333333333333333
atm,41.87641778,-87.6333850
fire_station,41.87624698,-87.63337908
parking,41.87597494,-87.63337104
restaurant,41.87579463333333333333333333,-87.63337265555555555555555556
parking,41.8762527625,-87.63021155
grave_yard,41.66526522,-87.64530120666666666666666667
grave_yard,41.664894475,-87.73580806428571428571428571
place_of_worship,41.8959782625,-87.62745005
parking,42.00966405714285714285714286,-87.89614269285714285714285714
parking,41.94647106,-87.88516031
fuel,41.9513717,-87.88356156
fuel,41.95150468571428571428571429,-87.88379544285714285714285714
parking,41.94794946428571428571428571,-87.88500328571428571428571429
parking,41.95169485,-87.88385556666666666666666667
parking,41.9505702,-87.88431164285714285714285714
parking,41.94750695714285714285714286,-87.88465168571428571428571429
parking,41.9469057,-87.8851626
parking,41.9501310,-87.882149225
fuel,41.94957788571428571428571429,-87.8818820
fuel,41.94972386,-87.88217452
parking,41.95028837142857142857142857,-87.88144415714285714285714286
parking,41.95042363333333333333333333,-87.87734663333333333333333333
school,41.95013872,-87.87751066
school,41.94811002727272727272727273,-87.87719482727272727272727273
place_of_worship,41.94803938,-87.87786264
parking,41.98467583888888888888888889,-87.85877826666666666666666667
parking,41.985498532,-87.860263756
parking,41.88000556923076923076923077,-87.83263747692307692307692308
school,41.88022491578947368421052632,-87.83232443684210526315789474
parking,41.8811771,-87.83350468571428571428571429
parking,41.8795326,-87.83080515714285714285714286
parking,41.88077884736842105263157895,-87.83159875263157894736842105
parking,41.98455097894736842105263158,-87.86030130526315789473684211
bus_station,41.98418386,-87.86027162
