name,MultiGeometry/Point/coordinates
Mont Clare,"-87.801155,41.921636,0.000000"
Elmwood Park,"-87.814784,41.924945,0.000000"
River Grove,"-87.836325,41.931004,0.000000"
Franklin Park,"-87.866586,41.936532,0.000000"
Mannheim,"-87.883340,41.941506,0.000000"
Bensenville,"-87.941819,41.957001,0.000000"
Wood Dale,"-87.974872,41.962368,0.000000"
Itasca,"-88.013916,41.971632,0.000000"
Medinah,"-88.050929,41.978316,0.000000"
Roselle,"-88.067067,41.981578,0.000000"
Schaumburg,"-88.118353,41.989235,0.000000"
Hanover Park,"-88.149282,41.988128,0.000000"
Bartlett,"-88.186283,41.992575,0.000000"
National St.,"-88.279968,42.029133,0.000000"
Elgin,"-88.286168,42.036256,0.000000"
Big Timber,"-88.328429,42.058674,0.000000"
Ogilvie,"-87.640769,41.883049,0.000000"
Clybourn,
Irving Park,"-87.731164,41.953170,0.000000"
Jefferson Park,"-87.763344,41.971506,0.000000"
Gladstone Park,"-87.777888,41.979752,0.000000"
Norwood Park,"-87.799059,41.991750,0.000000"
Edison Park,"-87.817707,42.002231,0.000000"
Park Ridge,"-87.831749,42.010209,0.000000"
Dee Road,"-87.854890,42.023270,0.000000"
Des Plaines,"-87.886757,42.040793,0.000000"
Cumberland,"-87.912305,42.052190,0.000000"
Mount Prospect,"-87.936180,42.062936,0.000000"
Arlington Heights,"-87.982182,42.083375,0.000000"
Arlington Park,"-88.009560,42.095668,0.000000"
Palatine,"-88.049929,42.113609,0.000000"
Barrington,"-88.132106,42.152897,0.000000"
Fox River Grove,"-88.218863,42.197519,0.000000"
Cary,"-88.241412,42.209164,0.000000"
Crystal Lake,"-88.317061,42.244150,0.000000"
McHenry,"-88.276147,42.343296,0.000000"
Woodstock,"-88.447281,42.316837,0.000000"
Harvard,"-88.617120,42.419351,0.000000"
Healy,"-87.727912,41.924855,0.000000"
Grayland,"-87.740123,41.948521,0.000000"
Mayfair,"-87.746172,41.960138,0.000000"
Forest Glen,"-87.756163,41.979537,0.000000"
Edgebrook,"-87.765621,41.997628,0.000000"
Morton Grove,"-87.784966,42.035050,0.000000"
Golf,"-87.797154,42.058326,0.000000"
Glenview,"-87.805570,42.074618,0.000000"
North Glenview,"-87.816272,42.098840,0.000000"
Northbrook,"-87.828137,42.127630,0.000000"
Lake Cook,"-87.840991,42.151649,0.000000"
Deerfield,"-87.849896,42.168128,0.000000"
Lake Forest,"-87.874624,42.223529,0.000000"
Libertyville,"-87.956445,42.291083,0.000000"
Grayslake,"-88.043324,42.333541,0.000000"
Round Lake,"-88.093929,42.354564,0.000000"
Long Lake,"-88.128051,42.367897,0.000000"
Ingleside,"-88.154981,42.384144,0.000000"
Fox Lake,"-88.182072,42.398302,0.000000"
O'Hare,"-87.880317,41.995212,0.000000"
Prospect Heights,"-87.908064,42.092911,0.000000"
Wheeling,"-87.927159,42.136447,0.000000"
Buffalo Grove,"-87.941128,42.168477,0.000000"
Prairie View,"-87.955579,42.197976,0.000000"
Vernon Hills,"-87.964823,42.215571,0.000000"
Mundelein,"-87.997696,42.266707,0.000000"
Prairie Crossing,"-88.017733,42.318547,0.000000"
Round Lake Beach,"-88.065167,42.384753,0.000000"
Lake Villa,"-88.079292,42.417587,0.000000"
Antioch,"-88.092173,42.480721,0.000000"
Ravenswood,"-87.674444,41.968153,0.000000"
Rogers Park,"-87.675526,42.009649,0.000000"
Main St.,"-87.680048,42.033323,0.000000"
Davis St.,"-87.684822,42.048064,0.000000"
Central St.,"-87.698101,42.063987,0.000000"
Wilmette,"-87.709277,42.077338,0.000000"
Kenilworth,"-87.716738,42.086222,0.000000"
Indian Hill,"-87.723729,42.094622,0.000000"
Winnetka,"-87.732590,42.105289,0.000000"
Hubbard Woods,"-87.743441,42.118184,0.000000"
Glencoe,"-87.758154,42.135525,0.000000"
Braeside,"-87.772829,42.152986,0.000000"
Ravinia Park,"-87.776694,42.157610,0.000000"
Ravinia,"-87.783228,42.165380,0.000000"
Highland Park,"-87.797713,42.183513,0.000000"
Highwood,"-87.809998,42.202420,0.000000"
Fort Sheridan,"-87.821148,42.217420,0.000000"
Lake Forest,"-87.839715,42.252359,0.000000"
Lake Bluff,"-87.846763,42.279589,0.000000"
Great Lakes,"-87.846635,42.308343,0.000000"
North Chicago,"-87.837043,42.328924,0.000000"
Waukegan,"-87.827952,42.360636,0.000000"
Zion,"-87.818129,42.449513,0.000000"
Winthrop Harbor,"-87.816256,42.482619,0.000000"
Kenosha,"-87.820907,42.587319,0.000000"
Hammond,"-87.522373,41.632059,0.000000"
East Chicago,"-87.481454,41.612880,0.000000"
Gary Metro,"-87.338814,41.605238,0.000000"
Miller,"-87.263497,41.597983,0.000000"
Ogden Dunes,"-87.191491,41.616492,0.000000"
Dune Park,"-87.057834,41.645900,0.000000"
Gary Airport,"-87.394800,41.605217,0.000000"
Washington St,"-88.050457,42.359631,0.000000"
Prairie Crossing,"-88.015117,42.320902,0.000000"
Rosemont,"-87.873445,41.975721,0.000000"
Schiller Park,"-87.868996,41.963065,0.000000"
Belmont Ave,"-87.860289,41.938561,0.000000"
Grand-Cicero,"-87.746534,41.914435,0.000000"
Laraway Road,"-87.959905,41.483165,0.000000"
Joliet,"-88.079301,41.524180,0.000000"
