Indicator,Latitude,Longitude
parking,34.17834576428571428571428571,-118.3125732571428571428571429
parking,34.17781857142857142857142857,-118.3106441142857142857142857
parking,34.17924985,-118.31259435
parking,34.18016316875,-118.3139150875
parking,34.18329372,-118.3137346666666666666666667
parking,34.18450778108108108108108108,-118.3143621108108108108108108
parking,34.1847597,-118.31248802
parking,34.18221705882352941176470588,-118.3091432941176470588235294
bank,34.18631876,-118.31567926
fuel,34.18624586,-118.31650578
parking,34.19638554,-118.34855972
fuel,34.1974003,-118.3376369
fast_food,34.19779655714285714285714286,-118.3382434857142857142857143
restaurant,34.18910446666666666666666667,-118.3182405866666666666666667
restaurant,34.1887906375,-118.31791965
fast_food,34.1889279,-118.3192962
fast_food,34.18969431818181818181818182,-118.3204473363636363636363636
fast_food,34.19007166666666666666666667,-118.3206527666666666666666667
restaurant,34.18492738,-118.3146405333333333333333333
fast_food,34.18496856097560975609756098,-118.3160732170731707317073171
fast_food,34.18275261052631578947368421,-118.3146800210526315789473684
public_building,34.18339465555555555555555556,-118.3086035185185185185185185
library,34.18387775454545454545454545,-118.3065020090909090909090909
parking,34.1861301,-118.31544126
parking,34.18599495,-118.3150631833333333333333333
parking,34.18640558333333333333333333,-118.3151306416666666666666667
parking,34.18682403125,-118.31486053125
parking,34.18696814,-118.31589402
parking,34.18791768571428571428571429,-118.3176138285714285714285714
parking,34.18924288,-118.31783465
parking,34.18859466666666666666666667,-118.3184457583333333333333333
studio,34.15442943636363636363636364,-118.3337035318181818181818182
parking,34.1513154,-118.34409514
parking,34.20410589,-118.30188432
parking,34.20494725714285714285714286,-118.3030940857142857142857143
parking,34.20608574,-118.3054337066666666666666667
parking,34.2602992,-118.3266138266666666666666667
parking,34.2605515,-118.3250714055555555555555556
school,34.18855963333333333333333333,-118.5286665666666666666666667
parking,34.17470955483870967741935484,-118.5956900032258064516129032
school,34.17018843571428571428571429,-118.5870104642857142857142857
school,34.19630822,-118.57646558
parking,34.25535781666666666666666667,-118.5990753666666666666666667
parking,34.25105186470588235294117647,-118.5992634647058823529411765
parking,34.23621864,-118.53291144
parking,34.23702463333333333333333333,-118.53303015
school,34.22366431666666666666666667,-118.52517655
parking,34.1708480625,-118.5329779125
school,34.23838166923076923076923077,-118.5077156846153846153846154
school,34.2165476,-118.5129416857142857142857143
school,34.21305738888888888888888889,-118.5066970666666666666666667
school,34.20382413684210526315789474,-118.5141262789473684210526316
school,34.19836307894736842105263158,-118.5044487736842105263157895
school,34.17047888,-118.51117872
school,34.24920702857142857142857143,-118.4867254142857142857142857
school,34.22738062,-118.4993084
fuel,34.14931836666666666666666667,-118.1501122833333333333333333
parking,34.24457979285714285714285714,-118.4795693785714285714285714
parking,34.24502084444444444444444444,-118.4820703444444444444444444
parking,34.24562377647058823529411765,-118.4842491764705882352941176
parking,34.10044667857142857142857143,-118.3245213285714285714285714
restaurant,34.03529125,-118.2381414333333333333333333
parking,34.07558594,-118.35787208
parking,34.14485548666666666666666667,-118.14943024
parking,34.1881462,-118.4655790555555555555555556
parking,34.05570782,-118.23721272
parking,34.05693074285714285714285714,-118.2369105428571428571428571
parking,34.05494825714285714285714286,-118.2380957714285714285714286
parking,34.03889675555555555555555556,-118.2686659888888888888888889
parking,34.06255054,-118.28656456
parking,33.95016370895522388059701493,-118.3391257567164179104477612
parking,33.98263458,-118.45973566
parking,34.22394776666666666666666667,-118.3832582222222222222222222
parking,34.23679956428571428571428571,-118.3763951071428571428571429
parking,33.909524852,-118.397342644
parking,34.09412181,-118.32812748
parking,34.17214485,-118.3356433875
school,33.86641006,-118.14818824
parking,33.98671292,-118.47310882
parking,33.98740406,-118.47371296
parking,33.99436654615384615384615385,-118.4806453
parking,33.83660474444444444444444444,-118.1665629888888888888888889
cinema,34.206514984,-118.216886504
parking,34.20596494,-118.21580566
parking,34.10069544,-118.33943198
parking,33.83280891923076923076923077,-118.2600311769230769230769231
parking,33.87118813076923076923076923,-118.3537879
parking,34.0066097,-118.1524972166666666666666667
parking,33.94300567,-118.4072716
parking,33.9436984,-118.40749372
parking,34.01291055,-118.493581495
parking,34.01145438333333333333333333,-118.4899146333333333333333333
parking,33.83436235454545454545454545,-118.3539008181818181818181818
parking,34.08325791428571428571428571,-118.3264023857142857142857143
parking,34.17177277333333333333333333,-118.32073374
school,33.829047075,-118.3780440666666666666666667
parking,34.12160134444444444444444444,-118.3808168
school,33.90052934,-118.20266489
parking,33.89033642820512820512820513,-118.4097848435897435897435897
school,33.89027462777777777777777778,-118.40543425
parking,34.156208325,-118.335243275
school,34.16822327,-118.32716425
parking,33.9773756875,-118.444086225
parking,34.16347636666666666666666667,-118.330059325
library,34.0543573,-118.2456147583333333333333333
